# Time_fs    FermiEnergy_eV
  10050.00        -1.2749899263
  10100.00        -1.0905470908
  10150.00        -1.4050651960
  10200.00        -1.0399381054
  10250.00        -1.0113372814
  10300.00        -0.6452948044
  10350.00        -0.9344095003
  10400.00        -1.2433717732
  10450.00        -1.1408989318
  10500.00        -1.3028302767
  10550.00        -1.4154269657
  10600.00        -1.1454878579
  10650.00        -1.3098800607
  10700.00        -1.3776225255
  10750.00        -0.6625607005
  10800.00        -0.6952829868
  10850.00        -1.1856610919
  10900.00        -1.0818424934
  10950.00        -0.7885941985
  11000.00        -0.6626285342
  11050.00        -0.7902660422
  11100.00        -0.5685373665
  11150.00        -0.8755128211
  11200.00        -1.0097394640
  11250.00        -1.2465779302
  11300.00        -0.7780989932
  11350.00        -0.9244505301
  11400.00        -0.8740409502
  11450.00        -0.7870033750
  11500.00        -0.9848813551
  11550.00        -1.4388172977
  11600.00        -1.3494254807
  11650.00        -1.5751512113
  11700.00        -0.9356631161
  11750.00        -1.5336879983
  11800.00        -0.8008452855
  11850.00        -0.8270053885
  11900.00        -1.0900911956
  11950.00        -1.2426450040
  12000.00        -1.7210500118
  12050.00        -1.2014966288
  12100.00        -1.3519751952
  12150.00        -0.8340117735
  12200.00        -1.2934810048
  12250.00        -0.9734193996
  12300.00        -0.8304207230
  12350.00        -1.2301044875
  12400.00        -0.8957438260
  12450.00        -0.6616874551
  12500.00        -1.0727164607
  12550.00        -1.1461336654
  12600.00        -1.0864186209
  12650.00        -1.0970698723
  12700.00        -1.0269990477
  12750.00        -0.8708088889
  12800.00        -0.9713456087
  12850.00        -1.0856400436
  12900.00        -1.5314283655
  12950.00        -1.1923080757
  13000.00        -1.2088901179
  13050.00        -1.0373408536
  13100.00        -0.5972615198
  13150.00        -1.0366662113
  13200.00        -1.1219503696
  13250.00        -0.9143825065
  13300.00        -1.0606110113
  13350.00        -1.1195179972
  13400.00        -0.6104332185
  13450.00        -0.9108779617
  13500.00        -1.0769787607
  13550.00        -1.1150231773
  13600.00        -1.3712934688
  13650.00        -0.9312321543
  13700.00        -1.2024564206
  13750.00        -0.9201546800
  13800.00        -1.0338013484
  13850.00        -0.3471505023
  13900.00        -1.3719360123
  13950.00        -0.6315403063
  14000.00        -1.1950406895
  14050.00        -0.8920829236
  14100.00        -0.9555349186
  14150.00        -0.3324888974
  14200.00        -0.3848845658
  14250.00        -0.8666600005
  14300.00        -0.7615774171
  14350.00        -0.6542359610
  14400.00        -0.4775752783
  14450.00        -0.4810590947
  14500.00        -0.1762005505
  14550.00        -0.3587037880
  14600.00        -0.4068608716
  14650.00        -0.7108062289
  14700.00        -0.6289015941
  14750.00        -0.7608264032
  14800.00        -0.9312392269
  14850.00        -1.3082683303
  14900.00        -1.3301781766
  14950.00        -0.8380044792
  15000.00        -0.6351146458
  15050.00        -0.8485343529
  15100.00        -0.8403169780
